fecha,resultado,sorteo
28 Octubre 2020,19 - 37 - 09 - 20 - 36 - 12,2028
24 Octubre 2020,42 - 20 - 19 - 40 - 28 - 13,2027
21 Octubre 2020,26 - 33 - 03 - 34 - 01 - 10,2026
17 Octubre 2020,27 - 36 - 21 - 02 - 40 - 15,2025
14 Octubre 2020,08 - 11 - 05 - 16 - 32 - 13,2024
10 Octubre 2020,01 - 36 - 39 - 02 - 15 - 04,2023
07 Octubre 2020,40 - 13 - 22 - 41 - 27 - 05,2022
03 Octubre 2020,17 - 28 - 35 - 38 - 09 - 01,2021
30 Septiembre 2020,01 - 16 - 09 - 30 - 13 - 05,2020
26 Septiembre 2020,18 - 05 - 01 - 41 - 38 - 10,2019
23 Septiembre 2020,34 - 10 - 20 - 21 - 36 - 03,2018
19 Septiembre 2020,28 - 06 - 14 - 21 - 35 - 02,2017
16 Septiembre 2020,25 - 19 - 22 - 02 - 37 - 15,2016
12 Septiembre 2020,41 - 11 - 37 - 40 - 10 - 09,2015
09 Septiembre 2020,16 - 35 - 30 - 07 - 11 - 03,2014
05 Septiembre 2020,10 - 31 - 02 - 30 - 27 - 10,2013
02 Septiembre 2020,19 - 20 - 28 - 03 - 21 - 13,2012
29 Agosto 2020,10 - 24 - 43 - 21 - 18 - 16,2011
26 Agosto 2020,17 - 08 - 26 - 27 - 31 - 11,2010
22 Agosto 2020,36 - 18 - 23 - 07 - 31 - 14,2009
19 Agosto 2020,02 - 14 - 25 - 31 - 07 - 10,2008
15 Agosto 2020,42 - 30 - 13 - 29 - 40 - 10,2007
12 Agosto 2020,01 - 24 - 13 - 39 - 27 - 16,2006
08 Agosto 2020,04 - 22 - 25 - 26 - 11 - 08,2005
05 Agosto 2020,36 - 18 - 28 - 24 - 40 - 05,2004
01 Agosto 2020,30 - 29 - 24 - 07 - 38 - 05,2003
29 Julio 2020,08 - 28 - 19 - 02 - 14 - 07,2002
25 Julio 2020,12 - 25 - 26 - 05 - 43 - 07,2001
22 Julio 2020,02 - 22 - 27 - 24 - 37 - 06,2000
18 Julio 2020,06 - 32 - 28 - 05 - 07 - 16,1999
